clus,pois,latitude,longitude,time,categories
33,Vittoriano,41.894599,12.483092,501.043179,architetturemilitariromane;monumentidiroma;luoghidellastoria;romar.xcampitelli;architetturediroma;museidiroma;simbolipatriiitaliani
34,Passetto_di_Borgo,41.90333333,12.46166667,242.3846154,romar.xivborgo
35,Colonna_Traiana;Chiesa_di_Santa_Maria_di_Loreto_(Roma);Basilica_Ulpia;Chiesa_del_Santissimo_Nome_di_Maria_al_Foro_Traiano,41.89555556,12.48457222,240,basilicheantichediroma;architetturebarocchediroma;romar.imonti;chiesediroma;colonnediroma;foridiroma;chiesediroma;chiesediromadelxviiisecolo;chiesediromadelxvisecolo;sculturearoma;romar.imonti;chiesetitolaridiroma;foridiroma
36,Palazzo_della_Farnesina;Biblioteca_del_Ministero_degli_Affari_Esteri,41.93721111,12.45790556,240,romaq.xvdellavittoria;luoghidellastoria;romaq.xvdellavittoria;palazzidiroma;bibliotechediroma
37,Porta_San_Paolo,41.87667222,12.48146944,395.4459459,muradiroma;romar.xxtestaccio
38,Museo_nazionale_del_Palazzo_di_Venezia;Palazzo_Venezia,41.89615556,12.48186667,1741.525847,museidiroma;palazzidiroma;romar.ixpigna;architetturerinascimentalidiroma;fascismo;romar.ixpigna
39,PalaLottomatica,41.82525,12.46652222,2253,architetturediroma;impiantisportividiroma;lottomatica
40,Quadraro,41.86214,12.5502,240,zoneurbanistichediroma;romaq.viiituscolano;medaglied'oroalmeritocivile
41,Campo_de'_Fiori,41.8956,12.47216667,572.6389189,romar.viiregola;romar.viparione;piazzediroma
42,Porta_Maggiore,41.891512,12.515144,752.4666667,romaq.viiprenestino-labicano;romar.xvesquilino;muradiroma
43,Porta_Collina,41.90733889,12.49871389,652.4,muradiroma;romar.xviiicastropretorio
44,Porta_Pinciana,41.90944444,12.48833333,621.954023,muradiroma;romaq.iiipinciano;romar.xviludovisi
45,Garbatella,41.86054,12.48815,240,romaq.xostiense;zoneurbanistichediroma
46,Monte_del_Grano,41.86527222,12.54929167,240,parchidiroma;romaq.viiituscolano;mausoleidiroma
47,Piazza_dei_Quiriti,41.90923611,12.4645,323.2916667,piazzediroma;romar.xxiiprati
48,Chiesa_di_Santa_Susanna_alle_Terme_di_Diocleziano,41.90421667,12.49373889,371.9897959,disposizionifonichediorganiacanne;chiesenazionalidiroma;architetturebarocchediroma;chiesediroma;chiesetitolaridiroma
50,Via_Margutta,41.90891944,12.479175,389.4636364,romar.ivcampomarzio;stradediroma
51,Pigneto,41.88659,12.53514,600,toponimidiroma;romaq.viiprenestino-labicano;romaq.vitiburtino
52,Via_della_Conciliazione,41.9023,12.462,262.3053097,urbanisticadiroma;romar.xivborgo;architetturediroma;stradediroma
53,Torresina_(zona_di_Roma),41.93023,12.3995,240,toponimidiroma;romas.xtrionfale
54,Tempio_della_Pace,41.89300833,12.48757778,240,templiantichidiroma;romar.imonti;foridiroma
55,Porta_Alchemica,41.895501,12.503713,291.5490196,alchimia;romar.xvesquilino;muradiroma
56,Basilica_di_Massenzio;Sacra_via_summa;Horrea_piperiana,41.891775,12.488446,298.9461756,foridiroma;impiantisportividiroma;romar.xcampitelli;edificicommercialiantichidiroma;romar.xcampitelli;stradeantichediroma;basilichedelfororomano;foridiroma;romar.xcampitelli
57,Circo_di_Massenzio,41.85472222,12.52245278,1050.8,circhidiroma;architettureantichediroma
58,Chiesa_di_Sant'Agata_dei_Goti,41.896425,12.48933889,240,chiesetitolaridiroma;chiesediroma
59,Villa_Borghese;Villa_Borghese_(zona_di_Roma),41.91291,12.4845,506.0833333,villediroma;romaq.iflaminio;romaq.iiipinciano;romar.ivcampomarzio;romaq.iiipinciano;zoneurbanistichediroma;romar.xviludovisi
60,Carcere_di_Regina_Coeli,41.895389,12.46452,240,romar.xiiitrastevere;carceridiroma
61,Basilica_di_Santa_Maria_sopra_Minerva;Saepta_Iulia,41.89805556,12.47833333,308.0126354,romar.ixpigna;chiesediroma;disposizionifonichediorganiacanne;porticiantichidiroma;basilichediroma
62,Villa_Torlonia_(Roma),41.91478889,12.51129444,1243.142857,villediroma;architettureneoclassichediroma;romaq.vnomentano
63,Pontificia_Accademia_delle_Scienze;Pontificia_Accademia_delle_Scienze_Sociali,41.90416667,12.4525,1350.17341,accademiepontificie;accademiepontificie
64,Domus_Tiberiana,41.89067778,12.48640556,265.3136247,domusdiroma;romar.xcampitelli;palazziimperialiromani
65,Domus_Severiana,41.88663056,12.48777778,240,domusdiroma;romar.xcampitelli;palazziimperialiromani
66,Basilica_di_Santo_Stefano_Rotondo_al_Celio,41.88444444,12.49666667,295.4642857,chiesetitolaridiroma;architettureantichediroma;chiesediroma;basilicheminoridiroma;chiesenazionalidiroma
67,La_Parrocchietta,41.85014,12.43939,240,toponimidiroma;romas.viiportuense
68,Villa_Gordiani,41.89416389,12.55376944,634.6666667,romaq.viiprenestino-labicano;romaq.xxiicollatino;parchidiroma
69,Palazzo_Montecitorio,41.90138889,12.47861111,407.6510903,edificipubbliciromani;architetturebarocchediroma;palazzidiroma;romar.iiicolonna
