id;name;latitude;longitude
199;Basilica_di_San_Lorenzo_in_Lucina;41.9034166667;12.4786611111
200;Basilica_di_Santa_Maria_in_Trastevere;41.8894444444;12.4697222222
201;Complesso_monumentale_di_Sant'Agnese_fuori_le_mura;41.92279;12.51934
202;Trasmettitore_di_Prato_Smeraldo;41.803;12.52132
203;Chiesa_di_Santa_Maria_Consolatrice;41.8977;12.53543
204;Mura_leonine;41.9030555556;12.4597222222
205;Moschea_di_Roma;41.934769;12.495221
206;Basilica_di_San_Lorenzo_fuori_le_mura;41.9025;12.5205555556
207;Basilica_dei_Santi_Giovanni_e_Paolo;41.886514;12.492634
208;Cimitero_del_Verano;41.90323;12.526
209;Piazza_del_Gesù_(Roma);41.895677;12.479122
210;Area_di_Sant'Omobono;41.89053;12.48141
211;Tempio_del_Divo_Giulio;41.891943;12.486246
212;Stazione_di_Roma_Trastevere;41.87271;12.466
213;Colle_Vaticano;41.9036111111;12.4502777778
214;Rebibbia;41.9309;12.57166
215;Palazzetto_dello_Sport_(Roma);41.9295972222;12.4707083333
216;Chiesa_di_Santa_Maria_Immacolata_a_via_Veneto;41.9046388889;12.4886666667
217;Tempio_di_Venere_e_Roma;41.890797;12.490095
218;Università_Pontificia_Salesiana;41.9591666667;12.5216666667
219;Cinecittà_Est;41.85277;12.59027
220;Biblioteca_Hertziana;41.9055555556;12.4838888889
221;Centocelle;41.88569;12.56694
222;Mandrione;41.8759;12.53673
223;Serpentara;41.97139;12.53694
224;Libera_Università_Internazionale_degli_Studi_Sociali;41.9244444444;12.4930555556
225;Regia_(Roma);41.8918972222;12.4863666667
226;Lepanto_(metropolitana_di_Roma);41.91173;12.46655
227;Ottaviano_-_San_Pietro_-_Musei_Vaticani_(metropolitana_di_Roma);41.90949;12.45788
228;Cipro_(metropolitana_di_Roma);41.90724;12.4476
229;Abbazia_delle_Tre_Fontane;41.8344444444;12.4833333333
230;Flaminio_-_Piazza_del_Popolo_(metropolitana_di_Roma);41.91201;12.47646
231;Spagna_(metropolitana_di_Roma);41.90598;12.48242
232;Barberini_-_Fontana_di_Trevi_(metropolitana_di_Roma);41.90363;12.4887
233;Repubblica_-_Teatro_dell'Opera_(metropolitana_di_Roma);41.90248;12.49453
234;Manzoni_-_Museo_della_Liberazione_(metropolitana_di_Roma);41.8905;12.5068
235;Termini_(metropolitana_di_Roma);41.90154;12.50059
236;Vittorio_Emanuele_(metropolitana_di_Roma);41.89473;12.5043
237;Bologna_(metropolitana_di_Roma);41.91332;12.52063
238;San_Giovanni_(metropolitana_di_Roma);41.88559;12.5096
239;Chiesa_di_Santa_Maria_in_Via;41.90163;12.4815
240;Chiesa_di_Nostra_Signora_del_Sacro_Cuore_(Roma);41.8982416667;12.4735361111
241;Basilica_di_San_Pietro_in_Vincoli;41.8938722222;12.4930694444
242;Basilica_di_San_Lorenzo_in_Damaso;41.8968666667;12.4717166667
243;Chiesa_di_Santa_Maria_della_Pace_(Roma);41.89998;12.47169
244;Basilica_di_San_Clemente_al_Laterano;41.8894444444;12.4975
245;Bocca_della_Verità;41.8880555556;12.4816666667
246;Pincio;41.9116666667;12.4797222222
247;Battistini_(metropolitana_di_Roma);41.90646;12.41472
248;Re_di_Roma_(metropolitana_di_Roma);41.88194;12.51441
249;Cavour_(metropolitana_di_Roma);41.895;12.49357
250;Grottarossa;41.97582;12.4784
251;Colosseo_(metropolitana_di_Roma);41.89002;12.49218
252;Colle_palatino;41.8883333333;12.4869444444
253;Tufello;41.94873;12.53188
254;Santa_Maria_del_Soccorso_(metropolitana_di_Roma);41.91559;12.56166
255;Circo_Massimo_(metropolitana_di_Roma);41.88422;12.488537
256;Campidoglio;41.8925972222;12.4823694444
